Nom,CodeInsee,Code postal,Arrondissement,Canton,Intercommunalité,Superficie(km2),Population(dernière pop. légale),Densité(hab./km2),Modifier
La Roche-sur-Yon(préfecture),85191,85000,La Roche-sur-Yon,La Roche-sur-Yon-1La Roche-sur-Yon-2,CA La Roche-sur-Yon - Agglomération,"87,52",54 699 (2022),625,NA
Les Achards,85152,85150,Les Sables-d’Olonne,Talmont-Saint-Hilaire,Pays-des-Achards,"30,30",5 451 (2022),180,NA
L'Aiguillon-la-Presqu'île,85001,85460,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Sud-Vendée-Littoral,"15,68",2 808 (2022),179,NA
L'Aiguillon-sur-Vie,85002,85220,Les Sables-d'Olonne,Saint-Hilaire-de-Riez,CA Pays de Saint-Gilles-Croix-de-Vie Agglomération,"23,22",2 207 (2022),95,NA
Aizenay,85003,85190,La Roche-sur-Yon,Aizenay,CC de Vie-et-Boulogne,"81,06",10 218 (2022),126,NA
Angles,85004,85750,Les Sables-d'Olonne,Mareuil-sur-Lay-Dissais,CC Vendée-Grand-Littoral,"34,27",2 966 (2022),87,NA
Antigny,85005,85120,Fontenay-le-Comte,La Châtaigneraie,CC du Pays-de-la-Châtaigneraie,"22,17",1 035 (2022),47,NA
Apremont,85006,85220,La Roche-sur-Yon,Challans,CC de Vie-et-Boulogne,"29,73",2 028 (2022),68,NA
Aubigny-Les Clouzeaux,85008,85430,La Roche-sur-Yon,La Roche-sur-Yon-2,CA La Roche-sur-Yon - Agglomération,"52,28",7 129 (2022),136,NA
Auchay-sur-Vendée,85009,85200,Fontenay-le-Comte,Fontenay-le-Comte,CC Pays-de-Fontenay-Vendée,"21,16",1 118 (2022),53,NA
Avrillé,85010,85440,Les Sables-d'Olonne,Talmont-Saint-Hilaire,CC Vendée-Grand-Littoral,"25,03",1 408 (2022),56,NA
Barbâtre,85011,85630,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC de l'Île-de-Noirmoutier,"12,47",1 790 (2022),144,NA
La Barre-de-Monts,85012,85550,Les Sables-d'Olonne,Saint-Jean-de-Monts,CC Océan-Marais-de-Monts,"27,81",2 356 (2022),85,NA
